work_id,units,c0_rows,parsed_units,landed_law_units,pending_law_units,unparsed_units,parse_laws,max_chapter,coordinate_collisions,y_state
"chasidut/ohr-zarua-latzadik",57,49773,0,0,0,57,"",0,0,"UNPARSED_TYPED"
"chasidut/peri-haaretz",247,50800,0,0,0,247,"",0,0,"UNPARSED_TYPED"
"chasidut/peri-tzadik",1890,974899,0,0,0,1890,"",0,0,"UNPARSED_TYPED"
"chasidut/poked-akarim",61,29449,0,0,0,61,"",0,0,"UNPARSED_TYPED"
"chasidut/resisei-layla",149,99029,149,149,0,0,"CHAPTER_SECTION",58,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/sefat-emet",7082,782007,0,0,0,7082,"",0,0,"UNPARSED_TYPED"
"chasidut/sefer-hamiddot",2694,32082,0,0,0,2694,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-ar-haemunah-veyesod-hachasidut",57,39396,0,0,0,57,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-arei-avodah",165,163858,0,0,0,165,"",0,0,"UNPARSED_TYPED"
"chasidut/sha-arei-hayichud-veemunah",162,169406,0,0,0,162,"",0,0,"UNPARSED_TYPED"
"chasidut/shem-mishmuel",839,1564399,0,0,0,839,"",0,0,"UNPARSED_TYPED"
"chasidut/shivchei-habesht",342,49876,0,0,0,342,"",0,0,"UNPARSED_TYPED"
"chasidut/shivchei-haran",63,16676,0,0,0,63,"",0,0,"UNPARSED_TYPED"
"chasidut/sichat-malakhei-hasharet",176,35177,0,0,0,176,"",0,0,"UNPARSED_TYPED"
"chasidut/sichat-shedim",16,4391,16,16,0,0,"CHAPTER_SECTION",2,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/sichot-haran",308,53713,0,0,0,308,"",0,0,"UNPARSED_TYPED"
"chasidut/sidduro-shel-shabbat",39,187429,0,0,0,39,"",0,0,"UNPARSED_TYPED"
"chasidut/sippurei-maasiyot",509,50695,0,0,0,509,"",0,0,"UNPARSED_TYPED"
"chasidut/sod-yesharim",1274,510734,0,0,0,1274,"",0,0,"UNPARSED_TYPED"
"chasidut/takanat-hashavin",339,102839,339,339,0,0,"CHAPTER_SECTION",15,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/tanya",119,72549,0,0,0,119,"",0,0,"UNPARSED_TYPED"
"chasidut/the-gate-of-unity",54,41708,0,0,0,54,"",0,0,"UNPARSED_TYPED"
"chasidut/tiferet-shlomo",1628,419818,0,0,0,1628,"",0,0,"UNPARSED_TYPED"
"chasidut/toldot-yaakov-yosef",2,259,0,0,0,2,"",0,0,"UNPARSED_TYPED"
"chasidut/torah-ohr",146,271072,0,0,0,146,"",0,0,"UNPARSED_TYPED"
"chasidut/tzav-vezeruz",35,14561,35,0,35,0,"VARIANT_A_DOUBLED",35,0,"FULLY_PARSED_PENDING_LAW"
"chasidut/tzavaat-harivash",312,11147,312,312,0,0,"CHAPTER_SECTION",143,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/tzidkat-hatzadik",271,74965,271,271,0,0,"CHAPTER_SECTION",264,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/tzofnat-paneach",119,224466,0,0,0,119,"",0,0,"UNPARSED_TYPED"
"chasidut/yakar-mipaz",78,10293,0,0,0,78,"",0,0,"UNPARSED_TYPED"
"chasidut/yismach-moshe",2012,681453,0,0,0,2012,"",0,0,"UNPARSED_TYPED"
"chasidut/yisrael-kedoshim",189,67523,189,189,0,0,"CHAPTER_SECTION",10,0,"FULLY_PARSED_LANDED_LAW"
"chasidut/yosher-divrei-emet",110,27715,0,0,0,110,"",0,0,"UNPARSED_TYPED"
"chasidut/zera-kodesh",1253,275174,0,0,0,1253,"",0,0,"UNPARSED_TYPED"
"geonim/rav-hai-gaon-kohelet-moshe-b",1,28,1,0,1,0,"VARIANT_B_WSR",1,0,"FULLY_PARSED_PENDING_LAW"
"geonim/teshuvot-hageonim-coronel",117,13366,0,0,0,117,"",0,0,"UNPARSED_TYPED"
"geonim/teshuvot-hageonim-harkavy",558,122296,558,0,558,0,"VARIANT_A_DOUBLED",559,0,"FULLY_PARSED_PENDING_LAW"
"geonim/teshuvot-hageonim-shaarei-teshuva",349,42612,349,0,349,0,"VARIANT_A_DOUBLED",352,0,"FULLY_PARSED_PENDING_LAW"
"geonim/toratan-shel-rishonim",28,22304,0,0,0,28,"",0,0,"UNPARSED_TYPED"
"gra/aderet-eliyahu",59,8802,0,0,0,59,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-jerusalem-talmud-bikkurim",170,6613,0,0,0,170,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-jerusalem-talmud-challah",657,17016,0,0,0,657,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-choshen-mishpat",41,2635,0,0,0,41,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-even-haezer",281,5424,0,0,0,281,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-orach-chayim",2479,68806,0,0,0,2479,"",0,0,"UNPARSED_TYPED"
"gra/beur-hagra-on-shulchan-arukh-yoreh-deah",7500,234880,7500,7500,0,0,"CHAPTER_SECTION",403,0,"FULLY_PARSED_LANDED_LAW"
"gra/beur-hagra-on-sifra-detzniuta",297,67030,297,297,0,0,"CHAPTER_SECTION",5,0,"FULLY_PARSED_LANDED_LAW"
"gra/gra-on-pirkei-avot",20,664,0,0,0,20,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-avot-drabbi-natan",103,491,0,0,0,103,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-derekh-eretz-rabbah",16,136,0,0,0,16,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-derekh-eretz-zuta",4,25,0,0,0,4,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-kallah",6,37,0,0,0,6,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-semachot",20,140,0,0,0,20,"",0,0,"UNPARSED_TYPED"
"gra/gras-nuschah-on-tractate-soferim",30,318,0,0,0,30,"",0,0,"UNPARSED_TYPED"
"gra/hagra-on-sefer-yetzirah-gra-version",35,6422,0,0,0,35,"",0,0,"UNPARSED_TYPED"
"gra/iggeret-hagra",16,1785,0,0,0,16,"",0,0,"UNPARSED_TYPED"
"gra/kol-hator",228,14953,228,228,0,0,"CHAPTER_SECTION",3,0,"FULLY_PARSED_LANDED_LAW"
"gra/maaseh-rav",250,6238,250,250,0,0,"CHAPTER_SECTION",250,0,"FULLY_PARSED_LANDED_LAW"
"gra/nefesh-hachayim",164,9472,0,0,0,164,"",0,0,"UNPARSED_TYPED"
"gra/sefer-yetzirah-gra-version",62,1950,62,62,0,0,"CHAPTER_SECTION",6,0,"FULLY_PARSED_LANDED_LAW"
"gra/yahel-ohr-on-zohar",238,13438,0,0,0,238,"",0,0,"UNPARSED_TYPED"
"grammar/machberet-menachem",1,31,0,0,0,1,"",0,0,"UNPARSED_TYPED"
"grammar/sefer-habachur",1,20068,1,0,1,0,"VARIANT_B_WSR",1,0,"FULLY_PARSED_PENDING_LAW"
"grammar/sefer-harikma",48,73237,48,0,48,0,"VARIANT_B_WSR",49,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/abudarham",83,183544,0,0,0,83,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/ahavat-chesed",47,70292,0,0,0,47,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/arukh-hashulchan",1557,3733832,0,0,0,1557,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/arukh-hashulchan-heatid",91,180858,0,0,0,91,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/ba-alei-hanefesh",24,34403,0,0,0,24,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/bedikat-hasakin",1,7,1,0,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/ben-ish-hai",2155,433330,0,0,0,2155,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/care-of-the-critically-ill",18,26367,0,0,0,18,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/chafetz-chaim",216,40980,0,0,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/chayyei-adam",221,275723,69,0,69,152,"VARIANT_A_DOUBLED",69,0,"PARTIAL"
"halakhah-expansion/chokhmat-adam",175,310916,172,0,172,3,"VARIANT_A_DOUBLED",172,0,"PARTIAL"
"halakhah-expansion/dina-degarmei",1,153,1,0,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/geder-olam",11,6077,8,0,8,3,"VARIANT_A_DOUBLED",8,0,"PARTIAL"
"halakhah-expansion/gevurat-anashim",74,29673,72,0,72,2,"VARIANT_A_DOUBLED",72,0,"PARTIAL"
"halakhah-expansion/halakhot-gedolot",77,296233,76,0,76,1,"VARIANT_A_DOUBLED",76,0,"PARTIAL"
"halakhah-expansion/issur-v-heter-l-rabbeinu-yerucham",81,12524,81,0,81,0,"VARIANT_A_DOUBLED",81,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/issur-veheter-haarokh",60,119435,60,0,60,0,"VARIANT_A_DOUBLED",60,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/issur-veheter-lerashi",137,14902,137,0,137,0,"VARIANT_A_DOUBLED",137,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/kaf-achat",33,9879,33,0,33,0,"VARIANT_A_DOUBLED",33,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/kesher-gudal",25,11307,25,0,25,0,"VARIANT_A_DOUBLED",25,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/kitzur-sefer-haredim-of-rabbi-elazar-azcari",1,1241,1,0,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/kitzur-shulchan-arukh",221,166493,221,0,221,0,"VARIANT_A_DOUBLED",221,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/kol-bo",148,315319,148,0,148,0,"VARIANT_A_DOUBLED",148,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/leket-yosher",98,61780,0,0,0,98,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/likkutei-hapardes",17,27098,0,0,0,17,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/machzor-vitry",958,326070,0,0,0,958,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/mateh-efrayim",4,3041,0,0,0,4,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/minchat-chinukh",1356,1372596,0,0,0,1356,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/moreh-beetzba",331,13178,331,0,331,0,"VARIANT_A_DOUBLED",331,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/peninei-halakhah-berakhot",230,106770,0,0,0,230,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-days-of-awe",134,67230,0,0,0,134,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-family",177,67930,0,0,0,177,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-family-purity",120,71772,0,0,0,120,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-festivals",138,64895,0,0,0,138,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-kashrut",401,219656,0,0,0,401,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-likkutim-i",145,60114,0,0,0,145,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-likkutim-ii",216,77086,0,0,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-pesach",162,70558,0,0,0,162,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-prayer",236,100470,0,0,0,236,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-shabbat",373,172383,0,0,0,373,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-shemitah-and-yovel",120,63107,0,0,0,120,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-simchat-habayit-u-virkhato",130,75262,0,0,0,130,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-sukkot",88,40588,0,0,0,88,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-the-nation-and-the-land",140,88272,0,0,0,140,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-women-s-prayer",206,69722,0,0,0,206,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/peninei-halakhah-zemanim",216,98892,0,0,0,216,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/piskei-challah",4,13450,4,0,4,0,"VARIANT_A_DOUBLED",4,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sansan-leyair",3,3277,3,0,3,0,"VARIANT_A_DOUBLED",3,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/seder-hayom",71,97745,0,0,0,71,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/seder-troyes",11,11316,10,0,10,1,"VARIANT_A_DOUBLED",10,0,"PARTIAL"
"halakhah-expansion/sefer-chasidim",1172,115165,1172,0,1172,0,"VARIANT_A_DOUBLED",1172,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sefer-haitim",236,101251,236,0,236,0,"VARIANT_A_DOUBLED",237,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sefer-hamachkim",1,2,1,0,1,0,"VARIANT_A_DOUBLED",1,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sefer-hamakhria",92,88360,92,0,92,0,"VARIANT_A_DOUBLED",92,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sefer-haorah",287,61922,0,0,0,287,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sefer-haparnas",428,28234,428,0,428,0,"VARIANT_A_DOUBLED",428,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sefer-haterumah",508,217965,0,0,0,508,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sefer-mitzvot-katan",296,94771,294,0,294,2,"VARIANT_A_DOUBLED",294,0,"PARTIAL"
"halakhah-expansion/sefer-yereim",439,193500,438,0,438,1,"VARIANT_A_DOUBLED",464,0,"PARTIAL"
"halakhah-expansion/sha-ar-hamayim-haaroch",12,9945,0,0,0,12,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/sha-ar-hamayim-hakatzar",11,2313,11,0,11,0,"VARIANT_A_DOUBLED",11,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sha-arei-ephraim",10,34485,10,0,10,0,"VARIANT_A_DOUBLED",10,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/sheiltot-d-rav-achai-gaon",171,108730,171,0,171,0,"VARIANT_A_DOUBLED",171,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/shev-shmateta",159,136875,0,0,0,159,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/shibbolei-haleket",476,278401,372,0,372,104,"VARIANT_A_DOUBLED",372,0,"PARTIAL"
"halakhah-expansion/shomer-yisrael",15,4154,15,0,15,0,"VARIANT_A_DOUBLED",15,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/shulchan-arukh-harav",554,737702,0,0,0,554,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/shulchan-shel-arba",5,18281,4,0,4,1,"VARIANT_A_DOUBLED",4,0,"PARTIAL"
"halakhah-expansion/siddur-rashi",633,84077,633,0,633,0,"VARIANT_A_DOUBLED",634,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/simlah-chadashah",49,86920,34,0,34,15,"VARIANT_A_DOUBLED",63,0,"PARTIAL"
"halakhah-expansion/tashbetz-katan",591,42417,591,0,591,0,"VARIANT_A_DOUBLED",591,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/tenai-benissuin-uveget",5,69983,0,0,0,5,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/the-sabbath-epistle",5,18848,0,0,0,5,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/torat-habayit-haaroch",41,250955,0,0,0,41,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/torat-hahiggayon-bahalakhah",37,78669,0,0,0,37,"",0,0,"UNPARSED_TYPED"
"halakhah-expansion/tziporen-shamir",218,14928,218,0,218,0,"VARIANT_A_DOUBLED",218,0,"FULLY_PARSED_PENDING_LAW"
"halakhah-expansion/yosef-beseder",12,2828,12,0,12,0,"VARIANT_A_DOUBLED",12,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/avodat-hakodesh",11,59054,0,0,0,11,"",0,0,"UNPARSED_TYPED"
"halakhah/ben-ish-chai",2,723,0,0,0,2,"",0,0,"UNPARSED_TYPED"
"halakhah/derekh-pikudekha",54,110378,0,0,0,54,"",0,0,"UNPARSED_TYPED"
"halakhah/ein-hatekhelet",53,107403,0,0,0,53,"",0,0,"UNPARSED_TYPED"
"halakhah/ginzei-mitzrayim-hilkhot-sefer-torah",38,14346,38,0,38,0,"VARIANT_A_DOUBLED",51,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/haagur",829,60887,0,0,0,829,"",0,0,"UNPARSED_TYPED"
"halakhah/hahalakhah-kochah-vetafkidah",12,103877,0,0,0,12,"",0,0,"UNPARSED_TYPED"
"halakhah/hilkhot-niddah-of-the-ramban",9,8606,0,0,0,9,"",0,0,"UNPARSED_TYPED"
"halakhah/keset-hasofer",28,19402,28,0,28,0,"VARIANT_A_DOUBLED",28,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/nehar-misrayim",3,1621,0,0,0,3,"",0,0,"UNPARSED_TYPED"
"halakhah/od-yosef-chai-halakhot",400,98805,0,0,0,400,"",0,0,"UNPARSED_TYPED"
"halakhah/ohr-zarua",2742,1316199,0,0,0,2742,"",0,0,"UNPARSED_TYPED"
"halakhah/piskei-recanati",589,51397,0,0,0,589,"",0,0,"UNPARSED_TYPED"
"halakhah/ptil-tekhelet",8,57815,0,0,0,8,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hachinukh",613,242574,0,0,0,613,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot",631,67524,0,0,0,631,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot-hakatzar",3,21715,0,0,0,3,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-hamitzvot-of-rasag",6,1425,0,0,0,6,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-mitzvot-gadol",622,561107,0,0,0,622,"",0,0,"UNPARSED_TYPED"
"halakhah/sefer-puah",107,639122,0,0,0,107,"",0,0,"UNPARSED_TYPED"
"halakhah/shabbat-haaretz",230,99291,0,0,0,230,"",0,0,"UNPARSED_TYPED"
"halakhah/shulchan-arukh-choshen-mishpat",427,249056,427,0,427,0,"VARIANT_A_DOUBLED",427,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/shulchan-arukh-even-haezer",180,112148,178,0,178,2,"VARIANT_A_DOUBLED",178,0,"PARTIAL"
"halakhah/shulchan-arukh-introduction",1,327,0,0,0,1,"",0,0,"UNPARSED_TYPED"
"halakhah/shulchan-arukh-orach-chayim",697,190982,697,0,697,0,"VARIANT_A_DOUBLED",697,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/shulchan-arukh-yoreh-de-ah",402,207927,402,0,402,0,"VARIANT_A_DOUBLED",403,0,"FULLY_PARSED_PENDING_LAW"
"halakhah/ta-amei-haminhagim",1407,341031,0,0,0,1407,"",0,0,"UNPARSED_TYPED"
"halakhah/torat-haadam",19,106144,0,0,0,19,"",0,0,"UNPARSED_TYPED"
"halakhah/torat-habayit-hakatzar",39,63990,0,0,0,39,"",0,0,"UNPARSED_TYPED"
"halakhah/treasures-hidden-in-the-sand",8,12176,0,0,0,8,"",0,0,"UNPARSED_TYPED"
"halakhah/tur",1708,737279,0,0,0,1708,"",0,0,"UNPARSED_TYPED"
"hebrew_thought/derech-hashem",28,27637,0,0,0,28,"",0,0,"UNPARSED_TYPED"
"hekhalot/hekhalot-rabbati",17,4879,17,0,17,0,"VARIANT_B_WSR",17,0,"FULLY_PARSED_PENDING_LAW"
"jewish-thought/abarbanel-on-guide-for-the-perplexed",610,146552,0,0,0,610,"",0,0,"UNPARSED_TYPED"
"jewish-thought/adam-min-haadamah",17,73140,0,0,0,17,"",0,0,"UNPARSED_TYPED"
"jewish-thought/akeidat-yitzchak",1728,1201916,0,0,0,1728,"",0,0,"UNPARSED_TYPED"
"jewish-thought/al-kapot-haman-ul-homilies-for-the-days-of-awe",11,22623,0,0,0,11,"",0,0,"UNPARSED_TYPED"
"jewish-thought/beer-hagolah",78,94765,0,0,0,78,"",0,0,"UNPARSED_TYPED"
"jewish-thought/beit-elohim",1845,243951,0,0,0,1845,"",0,0,"UNPARSED_TYPED"
